City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
372,kaoma,-14.7833,24.8,64.71,98,100,5.26,ZM,1675804455
373,lasa,46.6166,10.7002,27.01,72,3,2.66,IT,1675804456
374,merauke,-8.4667,140.3333,77.14,91,99,9.78,ID,1675804459
375,codrington,-38.2667,141.9667,55.33,84,91,7.56,AU,1675803867
376,bosobolo,4.1833,19.9,81.37,19,15,1.54,CD,1675804290
377,mareeba,-17.0,145.4333,76.44,89,79,0.63,AU,1675804180
378,cafarnaum,-11.6936,-41.4683,79.18,46,99,8.19,BR,1675804461
379,piacabucu,-10.4056,-36.4344,79.14,70,97,8.7,BR,1675804462
380,sinnamary,5.3833,-52.95,77.68,87,32,12.03,GF,1675803746
381,latung,5.5,120.8833,80.92,72,100,4.18,PH,1675804463
382,sao filipe,14.8961,-24.4956,68.99,64,2,15.82,CV,1675804074
383,flinders,-34.5833,150.8552,70.18,91,99,3.0,AU,1675803947
384,amravati,20.9333,77.75,68.95,33,5,7.02,IN,1675804464
385,anamur,36.0751,32.8369,42.62,47,42,12.37,TR,1675804465
386,kalmunai,7.4167,81.8167,76.57,87,68,7.74,LK,1675803873
387,banda aceh,5.5577,95.3222,77.59,84,98,6.22,ID,1675804122
388,talaya,61.3833,152.75,-41.48,100,100,1.16,RU,1675804322
389,mehran,33.1222,46.1646,53.35,56,50,4.83,IR,1675804467
390,wanning,18.8003,110.3967,71.13,94,19,1.5,CN,1675804467
391,lorengau,-2.0226,147.2712,79.3,88,100,13.67,PG,1675804384
392,virginia beach,36.8529,-75.978,60.04,58,75,10.36,US,1675804075
393,wajid,3.8093,43.2471,81.34,32,9,8.03,SO,1675804468
394,garissa,-0.4536,39.6401,80.33,55,42,10.94,KE,1675804472
395,hovd,48.0056,91.6419,0.23,79,22,2.19,MN,1675804475
396,ponta delgada,37.7333,-25.6667,54.32,87,40,19.57,PT,1675804476
397,gilgit,35.9221,74.3087,23.7,61,4,4.03,PK,1675804476
398,saint-joseph,-21.3667,55.6167,77.38,82,81,13.2,RE,1675804477
399,san cristobal,7.7669,-72.225,78.98,41,32,4.21,VE,1675804004
400,kropotkin,45.4375,40.5756,23.86,93,100,14.99,RU,1675804477
401,nadadores,27.05,-101.6,78.24,32,6,14.67,MX,1675804478
402,kudat,6.8837,116.8477,76.35,85,91,4.03,MY,1675804478
403,digby,44.6169,-65.7655,31.59,64,3,9.51,CA,1675804479
404,ambilobe,-13.2,49.05,72.95,97,100,2.66,MG,1675804161
405,robe,-37.1833,139.75,55.58,85,1,13.71,AU,1675804479
406,mount isa,-20.7333,139.5,78.57,94,40,4.61,AU,1675804195
407,olga,43.7444,135.2892,11.53,79,93,5.08,RU,1675804480
408,sovetskiy,61.3614,63.5842,-17.84,100,98,3.53,RU,1675804480
409,ambovombe,-25.1667,46.0833,73.47,90,100,2.51,MG,1675804108
410,shingu,33.7333,135.9833,43.2,85,2,7.07,JP,1675804063
411,berlevag,70.8578,29.0864,35.6,69,0,29.93,NO,1675804081
412,beringovskiy,63.05,179.3167,-21.08,96,91,7.49,RU,1675803898
413,acarau,-2.8856,-40.12,79.57,79,100,12.64,BR,1675804179
414,panhala,16.8167,74.1167,65.97,42,100,2.75,IN,1675804482
415,cedral,23.8,-100.7333,80.13,9,88,8.03,MX,1675804482
416,sassandra,4.95,-6.0833,78.33,88,59,5.61,CI,1675804483
417,bilibino,68.0546,166.4372,-39.98,100,100,0.34,RU,1675804483
418,indianola,41.3581,-93.5574,45.88,54,0,5.99,US,1675804336
419,ketchikan,55.3422,-131.6461,37.38,87,100,3.44,US,1675804083
420,namibe,-15.1961,12.1522,71.38,74,71,9.62,AO,1675804019
421,salta,-24.7859,-65.4117,83.57,51,95,5.99,AR,1675804484
422,puerto del rosario,28.5004,-13.8627,62.35,63,20,9.22,ES,1675804485
423,puerto pailas,-17.667,-62.7909,86.92,79,77,6.98,BO,1675804485
424,alofi,-19.0595,-169.9187,75.09,94,100,5.75,NU,1675803900
425,norden,53.6,7.2,30.18,73,5,6.6,DE,1675804486
426,mussomeli,37.5778,13.7513,36.86,76,94,6.17,IT,1675804486
427,gayny,60.3071,54.3241,6.96,96,98,6.51,RU,1675804102
428,juneau,58.3019,-134.4197,38.21,91,75,6.91,US,1675804487
429,galway,53.2719,-9.0489,45.95,89,99,5.53,IE,1675804374
430,bud,39.447,-86.1758,57.22,68,100,10.0,US,1675804488
431,kempsey,-31.0833,152.8333,70.95,84,96,1.01,AU,1675804488
432,svetlyy,54.675,20.1347,33.85,88,72,6.51,RU,1675804400
433,bonthe,7.5264,-12.505,76.98,73,100,9.8,SL,1675804488
434,shima,24.4478,117.8111,59.0,84,97,5.08,CN,1675804489
435,omboue,-1.5746,9.2618,78.73,82,76,5.57,GA,1675804489
436,qasigiannguit,68.8193,-51.1922,-9.15,99,100,2.82,GL,1675804490
437,grafton,42.207,-71.6856,38.52,43,0,9.22,US,1675804490
438,beira,-19.8436,34.8389,78.33,88,30,7.27,MZ,1675804490
439,pozo colorado,-23.4923,-58.7972,91.85,43,100,8.37,PY,1675804491
440,sao joao da barra,-21.6403,-41.0511,80.69,87,100,5.64,BR,1675804232
441,jacmel,18.2342,-72.5347,89.44,59,15,6.2,HT,1675804491
442,deputatskiy,69.3,139.9,-46.77,99,58,4.27,RU,1675804332
443,constitucion,-35.3333,-72.4167,69.84,56,12,8.48,CL,1675804492
444,luderitz,-26.6481,15.1594,68.14,77,1,20.42,NA,1675804122
445,anadyr,64.75,177.4833,-24.52,74,0,8.95,RU,1675804090
446,westport,41.1415,-73.3579,39.74,61,100,1.01,US,1675803643
447,richards bay,-28.783,32.0377,74.89,94,72,5.28,ZA,1675803907
448,cravo norte,6.3017,-70.2041,91.53,37,97,10.87,CO,1675804493
449,nampa,43.5407,-116.5635,50.04,56,0,4.61,US,1675804455
450,pochutla,15.7432,-96.4661,85.82,39,0,7.78,MX,1675804494
451,gboko,7.3179,8.9951,86.29,12,7,3.42,NG,1675804494
452,camapua,-19.5314,-54.0439,70.93,94,100,1.74,BR,1675804494
453,tabas,33.5959,56.9244,56.52,64,7,11.63,IR,1675804495
454,dedovichi,57.5517,29.9502,26.98,88,94,9.1,RU,1675804495
455,charters towers,-20.1,146.2667,75.07,87,55,8.39,AU,1675804496
456,witu,-2.3889,40.4382,78.96,89,19,8.63,KE,1675804496
457,tabuk,17.4189,121.4443,70.18,95,18,0.18,PH,1675804497
458,shasta lake,40.6804,-122.3708,54.75,52,100,1.99,US,1675804498
459,vredendal,-31.6683,18.5012,65.98,85,100,6.58,ZA,1675804499
460,champerico,14.3,-91.9167,95.54,59,48,12.41,GT,1675804499
461,kyshtovka,56.555,76.6271,-2.87,100,92,4.76,RU,1675804499
462,broken hill,-31.95,141.4333,70.48,31,0,9.91,AU,1675804055
463,rawah,34.4816,41.9093,48.72,50,63,9.15,IQ,1675804500
